0,1,2,3,4,5,6,7,8,9,10,11,12
A,13.186335403726709,13410967977.75,0.011184874965689536,1.4085365853658536,28.575757575757578,3.052402260951484,0.45019121736900386,3.8465608465608465,3.2825396825396824,1.3045219029674988,40.25,0
AA,41.600249448002195,6644053738.4,9999,-2.150537634408602,-16.8888,0.8730716878368197,9999,1.1276143211627083,0.7164126196384261,0.5982850461218656,36.32,0
AAL,7.910151165538412,9999,9999,5.1624552915166735,0.49007688340807176,0.3198421808956407,9999,0.744232987312572,0.6653690888119954,8.669220607661822,2.53,0
AAMC,35.77620015260734,1075272422.5,9999,-3.2844204645838935,-149.49973832360948,13.724766685827445,9999,7.342465753424658,9999,9999,491.02,1
AAN,20.937574726052112,2793194385.48,0.002656456721584345,1.9249416089666516,20.535687844173374,1.887993261741714,0.10500973420422915,2.5937788604626038,0.8523389825783001,1.3406821553484818,39.53,1
AAOI,11.731597251207887,788685660.0,9999,1.725028454077593,23.617001739130433,3.472672912957816,9999,2.6270488386440567,1.7630433695162824,0.8466426837420399,40.74,0
AAON,3.9242306231940787,475772676.52,0.026642975995842293,1.002616352316561,8.597505895533573,2.1966089222819063,0.22966245308416056,3.477577701036014,2.3095461272816973,9999,8.62,0
AAP,39.46237114831309,6816489000.0,0.0026022194123690363,6.220943924854161,10.368201478606332,1.634468434691543,0.16784315209780284,1.4071543174378123,0.2303823183931866,2.131448478015165,64.5,0
AAPL,6.2447023087027045,868062144040.0001,0.013996693766016977,2.1177547081302275,20.195917797185196,6.849005426631007,0.5986385923725461,1.352669417512594,1.3256841252563096,1.4214223892583957,42.77,0
AAWW,60.01392234338353,9999,9999,1.623684930971098,36.94682315251951,0.9996013867707788,9999,0.633552615282265,9999,1.3343981367368378,59.99,1
AAXN,2.851636813790637,1223872346.97,9999,0.32682097307510627,70.77269179626525,8.111131083783999,9999,2.2710567793026564,1.8246005202526943,1.1897566406871323,23.13,0
AB,16.447181894260858,2482442547.9,0.06837257931450716,9999,9999,1.5534576174971053,1.746919401485658,9999,9999,9999,25.55,0
ABAX,10.411596246199938,946662020.0,0.010531741835380698,1.3811623946552551,30.2716032247866,4.015714690747825,0.440332126137267,7.274029891676951,6.069758672699849,0.9077152239412303,41.81,0
ABBV,2.9039799772209203,107484844264.59,0.034581619626763836,3.658881376767056,18.440062153536033,23.233631267860225,2.333221876217756,1.6549432573356508,1.507310090992741,11.351811906816222,67.47,0
ABC,9.764233187627164,13577103338.4,0.021247315632054085,6.294151613727927,9.342005659945277,6.021978261898635,1.2493421591647802,0.903936449661791,0.4797369452953792,12.540753656891788,58.8,0
ABCD,-1.3126668407546906,49741845.620000005,9999,0.21404531275652602,4.812065196548418,-0.7846621610459992,9999,0.3193859984697781,0.29199502677888295,-1.6409030067578596,1.03,0
ABD,6.651273478141327,696574793.1,9999,0.8666061705989111,7.823623036649215,1.019353665471991,9999,1.6503444881889764,1.1336122047244095,1.832086919712149,6.78,0
ABG,13.435680845080787,9999,9999,7.7050691244239635,1.9908971291866027,1.1417359623882732,9999,1.2059009865146166,0.3959634356050321,8.026814444047194,15.34,0
ABM,14.869646026702343,9999,9999,1.0070422535211268,23.037762237762237,1.5602254390143737,9999,1.6610254691689008,9999,1.2932238193018482,23.2,0
ABMC,0.03498611972632458,4131505.92,9999,-0.012085720336081112,-15.72103231884058,5.430725141463414,9999,1.4978028876333962,0.504708097928437,3.062439024390244,0.19,1
ABMD,8.34027932557214,658517460.3000001,9999,0.8421157199938188,20.30599785042074,2.0502910433190973,9999,6.1965149008401195,5.621967727380159,9999,17.1,0
ABT,11.902212928403836,124278125344.32,0.012383514763648937,0.9386718731666565,75.38310460000001,5.945112931994015,0.8762575046757989,4.020420420420421,3.654954954954955,2.2907274219240237,70.76,1
AC,41.27364316735379,921149999.9999999,0.0027183412039298704,0.4068484969141947,98.43959189665296,0.9703529159664379,0.1088695652173913,4.545843364581512,9999,0.24327882795026232,40.05,1
ACAD,4.173812175690545,1974528393.1000001,9999,-2.237720665231982,-9.71077415408651,5.206271649347718,9999,12.865962193260538,12.767922977574264,9999,21.73,0
ACGL,23.715235754754,6056466075.27,0.004634715963260576,1.7713677915788106,8.360770739090794,0.6244930538812442,0.06864014341588913,1.3797869602261768,9999,2.2394337955939805,14.81,0
ACHC,24.876362777124246,2819221991.9100003,9999,0.07063030330903489,454.3375647077975,1.2899795797120814,9999,1.248091814562583,9999,1.6842681555247867,32.09,1
ACIA,11.041759306687375,2560624640.0000005,9999,2.1464227788790775,33.39509844255069,6.491719119125106,9999,5.7318267466653445,5.339093568701344,9999,71.68,1
ACLS,6.4130749245029985,281546826.88,9999,0.3489058039961941,27.743877829288248,1.5094163274180337,9999,5.043451844713079,2.6581466971150824,9999,9.68,0
ACLZ,-0.059831990095942124,9999,9999,-0.05902237509898847,-5.929954520010468,-5.849713496722506,9999,0.8319393937427063,9999,-2.281963659589621,0.35,1
ACM,22.537703108791558,3036170253.5,9999,0.604109571820079,45.32290378632594,1.2148531670611789,9999,1.1312058462255379,9999,2.7313041644886162,27.38,0
